"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3142","Test2","chromium","Tue Oct 07 13:28:01 NPT 2025","passed","Tue Oct 07 13:28:04 NPT 2025","","Reporter.spec.js","",""
"","20448","Test","chromium","Tue Oct 07 13:43:58 NPT 2025","passed","Tue Oct 07 13:44:18 NPT 2025","","RetryTest.spec.js","",""
"","5152","Test1","chromium","Tue Oct 07 13:27:55 NPT 2025","passed","Tue Oct 07 13:28:00 NPT 2025","","Reporter.spec.js","",""
"","4206","Test3","chromium","Tue Oct 07 13:28:04 NPT 2025","passed","Tue Oct 07 13:28:08 NPT 2025","","Reporter.spec.js","",""
"","19204","HandleCheckBoxes","chromium","Mon Oct 27 13:55:50 NPT 2025","passed","Mon Oct 27 13:56:10 NPT 2025","","HandleCheckBoxes.spec.js","",""
